TaskID,DealName,DateFrom,DateTo,IsActive,AllowCoupons,SingleUse,CouponCodes,CustomerGroup,CustomerName,CustomerTagName,DiscountName,EntireOrder,BrandName,CategoryName,CommaDelimitedTags,ProductSKU,BuyX,BuyOrMore,BuyXValue,BuyAmount,GetX,GetXValue,GetAmount
"1681cc26-85cd-4b55-9234-edb805bccd2f","Sale: Monthly_August_2026",20260801,20260831,"True","False","False","","All customers","","","Discount 25%","False","","","","AS92080,AS92081,AS92082,AS92084,AS92085,AS92086,AS93121,AS93122,AS93123,AS93124,AS93137,AS93138,AS93139,AS93142,AS93143,AS93144,AS93147,AS93148,AS93149,AS93152,AS93153,AS93154,AS93166,AS93167,AS93168,AS93172,AS93173,AS93174,AS93175,AS93193,AS93194,AS93195,AS93196,AS93197,AS93198,AS93199,AS93201,AS93202,AS93203,AS93204,AS93205,AS93206,AS93207,AS93209,AS93210,AS93212,AS93213,AS93214,AS93217,AS93218,AS93220,AS93221,AS93222,AS93223,AS93226,AS93227,AS93232,AS93234,AS93235,AS93240,AS93241,AS93242,AS93243,AS93244,AS93245,AS93246,AS93247,AS93248,AS93249,AS93250","","False","","","","","",""
"bcc94563-9642-48a8-81e1-d3375c1f2901","Sale: Monthly_December 2025",20251201,20251231,"False","False","False","","All customers","","","Discount 20%","False","MENTHOLOGY,TIRTIR","","","AS91996,AS91997,AS91998,AS92021,AS92022,AS92023,AS92024,AS92025,AS92027,AS92028,AS92029,AS92031,AS92032,AS92033,AS92035,AS92037,AS92038,AS92039,AS92040,AS92080,AS92081,AS92082,AS92084,AS92085,AS92086,FST56006,FST80025,FST80097,FST80197,FST80270,GPR00491,GPR00610,GPR00611,GPR00806,GPR01166,GPR01258,GPR14103,TIL13442-12,TIL13443-12","","False","","","","","",""
"bcc94563-9642-48a8-81e1-d3375c1f2901","Sale: Monthly_December 2025",20251201,20251231,"False","False","False","","All customers","","","Discount 50%","False","","","","ASH60447-10,ASH60448-10,ASH60449-10,ASH60450-10,ASH60451-10,ASH60452-10,ASH60453-10,ASH60454-10,ASH60463-10,ASH60464-10,ASH60465-10,ASH60466-10,ASH60467-10,ASH60468-10,ASH60469-10,ASH60470-10,ASH60471-10,ASH60472-10,ASH60473-10,ASH60474-10,ASH60475-10,ASH60476-10,ASH60477-10,ASH60478-10,ASH60479-10,ASH60480-10,ASH60481-10,ASH60482-10,ASH60483-10,ASH60484-10,ASH60485-10,ASH60486-10,ASH60487,ASH60487-10,ASH60488-10,ASH60490-10,ASH60491-10,ASH60492-10,ASH60493-10,ASH60494-10,ASH60503,ASH60503-10,ASH60504-10,ASH60505-10,ASH60506-10,ASH60507-10,ASH60508-10,ASH60509-10,ASH60510-10,ASH60511-10,ASH60512-10,ASH60513-10,ASH60514-10,ASH60515-10,ASH60516-10,ASH60517-10,ASH60518-10,ASSH60050-10,ASSH60052-10,ASSH60055-10,ASSH60056-10,ASSH60057-10,ASSH60058-10,ASSH60059-10,ASSH60082-10,ASSH60083-10,ASSH60084-10,ASSH60085-10,ASSH60086-10,ASSH60087-10,ASSH60088-10,ASSH60089-10,ASSH60090-10,ASSH60091-10,ASSH60092-10,ASSH60093-10,ASSH60094-10,ASSH60095-10,ASSH60096-10,ASSH60097-10,ASSH60122-10,ASSH60123-10,ASSH60124-10,ASSH60125-10,ASSH60126-10,ASSH60127-10,ASSH60443-10,ASSH60444-10,ASSH60445-10,ASSH60446-10,ASSH60521-10,ASSH60522-10,ASSH60523-10,ASSH60524-10,ASSH60525-10,ASSH60526-10,ASSH60527-10,ASSH60528-10,ASSH60529-10,ASSH60530-10,ASSH60551-10,ASSH60552-10,ASSH60553-10,ASSH60554-10,ASSH60555-10,ASSH60556-10,ASSH60557-10,ASSH60558-10,ASSH60559-10,ASSH60560-10,ASSH60591-10,ASSH60592-10,ASSH60593-10,ASSH60594-10,ASSH60595-10,ASSH60596-10,ASSH60597-10,ASSH60598-10,ASSH60599-10,ASSH60600-10","","False","","","","","",""
"bcc94563-9642-48a8-81e1-d3375c1f2901","Sale: Monthly_December 2025",20251201,20251231,"False","False","False","","All customers","","","Discount 15%","False","","","","ARO00704-12,BNB00205,BNB00302,BNB00315","","False","","","","","",""
"bcc94563-9642-48a8-81e1-d3375c1f2901","Sale: Monthly_December 2025",20251201,20251231,"False","False","False","","All customers","","","Discount 10%","False","","","","BCO33074","","False","","","","","",""
"7e295efd-37a5-4ab7-a194-9968c82a099d","Sale: Monthly_February_2026",20260201,20260228,"True","False","False","","All customers","","","Discount 15%","False","","","","ANN01051,ANN01052,ANN01053,ANN01054,ANN01055,ANN01061,ANN01062,ANN01063,ANN01064,ANN01065,ANN01206,ANN01207,ANN01209,ANN01210,ANN01211,ANN01212,ANN01213,ANN01215,ANN01216,ANN01217,ANN01255,ANN01256,ANN01257,ANN01258,ANN01259,ANN01260,ANN01261,ANN01262,ANN01263,ANN01264,ANN01280,ANN01282,ANN01283,ANN01284,ANN01285,ANN01309,ANN01311,ANN01312,ANN01313,ANN01314,ANN01315,ANN01316,ANN03174,ANN03175,ANN03177,ANN03185,ANN03230,ANN03231,ANN03238,ANN03247,ANN03248,ANN03249,ANN03408,ANN05004,ANN05005,ANN05006,ANN05007,ANN05008,ANN05009,ANN05010,ANN05014,ANN05015,ANN05016,ANN05017,ANN05018,ANN05024,ANN05025,ANN05026,ANN05028,ANN05030,ANN05231,ANN05232,ANN05233,ANN05234,ANN05235,ANN05236,ANN05237,ANN05238,SUN02044,SUN05033,SUN05035,SUN05036,SUN05077,SUN05096,SUN05125,SUN05181,SUN05182,SUN05189,SUN05904,SUN06009,SUN14561,SUN14574,SUN14622,SUN17110,SUN31501,SUN31503,SUN31505,SUN31506,SUN31509,SUN31612,SUN31614,SUN31616,SUN31618,SUN31620,SUN32203,SUN32204,SUN32205,SUN32206,SUN32207,SUN32224,SUN32511,SUN32619,SUN32716,SUN32813,SUN32910,SUN36261,SUN36262,SUN36263,SUN36264,SUN36265,SUN36266,SUN36267,SUN36268,SUN36270,SUN36284,SUN36287,SUN81079","","False","","","","","",""
"7e295efd-37a5-4ab7-a194-9968c82a099d","Sale: Monthly_February_2026",20260201,20260228,"True","False","False","","All customers","","","Discount 10%","False","","","","ABE53000,ABE54000,ABE54100,ABE56100,ABE56200,APR40101,APR40108,APR41005,APR41105,APR47003,APR47006,CHI03860,CHI04081,CHI04148,CHI04151,CHI04230,CHI04390,CHI62539,CHI63587,JFM00260,JFM00274,JFM21591,JFM29985,JFM35751,JFM43387,JFM44492,JFM44748,JFM44787,JFM44939,JFM44940,JFM45271,JFM45272,JFM45274,JFM57086,JFM65503,JFM66650,JFM87443,JFM90285,JFM90718,MOT33715,MOT33764,MOT33815,MOT33900,ORS11018,ORS11021,ORS11022,ORS11030,ORS11034,ORS11041,ORS11079,ORS11091,ORS11092,ORS11098,ORS11099,ORS11107,ORS11121,ORS11129,ORS11130,ORS11155,ORS11194,ORS11700,ORS12011,ORS12170,ORS12180,ORS12198,ORS21016,ORS21017,ORS21020,ORS21021,ORS22018,ORS23101,ORS23104,PRO00123,PRO00124,PRO06433,PRO06434,REV20348,REV94082,SNB85101,SNB85201,TCB81408,TCB81415,TCB81508,TCB81515","","False","","","","","",""
"7e295efd-37a5-4ab7-a194-9968c82a099d","Sale: Monthly_February_2026",20260201,20260228,"True","False","False","","All customers","","","Discount 20%","False","","","","RSK02533,RSK02543,RSK04256,RSK04259,RSK04476,RSK05151,RSK05152,RSK05153,RSK05154,RSK05156,RSK05157,RSK05158,RSK05166,RSK53125,RSK53130,RSK53131","","False","","","","","",""
"364d7c22-7eb7-410b-af72-e3bde79f4c15","Sale: Monthly_January_2026",20251224,20260131,"True","False","False","","All customers","","","Discount 20%","False","Flora & Curl","","","AS93169,AS93171,RSK02542,RSK03119,RSK03120,RSK03138,RSK03764,RSK04065,RSK04066,RSK04067,RSK04682,RSK04754,RSK04760,RSK04761,RSK53101,RSK53129","","False","","","","","",""
"364d7c22-7eb7-410b-af72-e3bde79f4c15","Sale: Monthly_January_2026",20251224,20260131,"True","False","False","","All customers","","","Discount 25%","False","THAYERS","","","","","False","","","","","",""
